sample	phylum	occurrence
MH0016	Bacteroidota	17
MH0016	Firmicutes_A	22
MH0016	Firmicutes_C	1
MH0016	Proteobacteria	3
MH0035	Bacteroidota	3
MH0035	Firmicutes	3
MH0035	Firmicutes_A	6
MH0047	Bacteroidota	2
MH0047	Firmicutes	1
MH0047	Firmicutes_A	5
MH0047	Firmicutes_C	1
MH0047	Proteobacteria	1
MH0049	Bacteroidota	20
MH0049	Firmicutes_A	14
MH0049	Firmicutes_C	1
MH0054	Bacteroidota	7
MH0054	Firmicutes	3
MH0054	Firmicutes_A	3
MH0057	Bacteroidota	6
MH0057	Firmicutes_A	1
MH0064	Bacteroidota	2
MH0067	Bacteroidota	2
MH0067	Cyanobacteria	1
MH0073	Bacteroidota	7
MH0077	Bacteroidota	5
MH0077	Firmicutes	1
MH0077	Firmicutes_A	5
MH0082	Bacteroidota	1
MH0082	Firmicutes_A	1
MH0086	Bacteroidota	11
MH0086	Cyanobacteria	2
MH0086	Firmicutes	8
MH0086	Firmicutes_A	41
MH0086	Firmicutes_C	1
MH0086	Proteobacteria	1
MH0087	Bacteroidota	19
MH0087	Firmicutes	3
MH0087	Firmicutes_A	13
MH0087	Firmicutes_C	2
MH0087	Verrucomicrobiota	1
MH0088	Bacteroidota	21
MH0088	Firmicutes	3
MH0088	Firmicutes_A	50
MH0088	Firmicutes_C	1
MH0088	Proteobacteria	1
MH0096	Bacteroidota	12
MH0096	Firmicutes	14
MH0096	Firmicutes_A	44
MH0096	Firmicutes_C	3
MH0096	Spirochaetota	1
MH0101	Bacteroidota	16
MH0101	Firmicutes	4
MH0101	Firmicutes_A	25
MH0109	Bacteroidota	26
MH0109	Firmicutes	2
MH0109	Firmicutes_A	30
MH0109	Firmicutes_C	1
MH0109	Proteobacteria	2
MH0114	Bacteroidota	24
MH0114	Firmicutes	4
MH0114	Firmicutes_A	22
MH0114	Firmicutes_C	1
MH0114	Proteobacteria	1
MH0119	Actinobacteriota	2
MH0119	Bacteroidota	40
MH0119	Firmicutes	3
MH0119	Firmicutes_A	54
MH0119	Firmicutes_C	1
MH0119	Proteobacteria	3
MH0119	Verrucomicrobiota	1
MH0120	Bacteroidota	32
MH0120	Firmicutes	10
MH0120	Firmicutes_A	35
MH0120	Firmicutes_C	4
MH0120	Proteobacteria	2
MH0128	Actinobacteriota	1
MH0128	Bacteroidota	26
MH0128	Firmicutes	1
MH0128	Firmicutes_A	33
MH0128	Firmicutes_C	1
MH0128	Proteobacteria	3
MH0129	Actinobacteriota	1
MH0129	Bacteroidota	28
MH0129	Cyanobacteria	1
MH0129	Firmicutes	8
MH0129	Firmicutes_A	46
MH0129	Firmicutes_C	1
MH0129	Proteobacteria	2
MH0132	Actinobacteriota	1
MH0132	Bacteroidota	20
MH0132	Euryarchaeota	1
MH0132	Firmicutes	10
MH0132	Firmicutes_A	56
MH0132	Firmicutes_C	3
MH0132	Spirochaetota	1
MH0135	Bacteroidota	33
MH0135	Cyanobacteria	1
MH0135	Firmicutes	9
MH0135	Firmicutes_A	37
MH0135	Firmicutes_C	2
MH0135	Proteobacteria	5
MH0149	Bacteroidota	24
MH0149	Cyanobacteria	1
MH0149	Firmicutes	5
MH0149	Firmicutes_A	41
MH0149	Firmicutes_C	1
MH0149	Proteobacteria	1
MH0149	Verrucomicrobiota	1
MH0155	Bacteroidota	28
MH0155	Cyanobacteria	1
MH0155	Firmicutes	4
MH0155	Firmicutes_A	34
MH0155	Firmicutes_C	1
MH0155	Proteobacteria	2
MH0161	Actinobacteriota	6
MH0161	Bacteroidota	29
MH0161	Firmicutes	11
MH0161	Firmicutes_A	72
MH0161	Firmicutes_C	3
MH0161	Proteobacteria	3
MH0167	Bacteroidota	29
MH0167	Firmicutes	2
MH0167	Firmicutes_A	28
MH0167	Firmicutes_C	1
MH0167	Proteobacteria	2
MH0169	Bacteroidota	24
MH0169	Cyanobacteria	1
MH0169	Firmicutes	3
MH0169	Firmicutes_A	35
MH0169	Firmicutes_C	1
MH0169	Proteobacteria	1
MH0170	Bacteroidota	25
MH0170	Firmicutes	2
MH0170	Firmicutes_A	62
MH0170	Firmicutes_C	1
MH0170	Proteobacteria	3
MH0177	Bacteroidota	31
MH0177	Firmicutes	4
MH0177	Firmicutes_A	34
MH0177	Firmicutes_C	6
MH0177	Proteobacteria	3
MH0183	Actinobacteriota	1
MH0183	Bacteroidota	30
MH0183	Cyanobacteria	3
MH0183	Firmicutes	23
MH0183	Firmicutes_A	78
MH0183	Firmicutes_C	3
MH0191	Actinobacteriota	8
MH0191	Bacteroidota	33
MH0191	Cyanobacteria	1
MH0191	Desulfobacterota_A	1
MH0191	Firmicutes	10
MH0191	Firmicutes_A	68
MH0191	Firmicutes_C	2
MH0191	Proteobacteria	6
MH0197	Actinobacteriota	6
MH0197	Bacteroidota	22
MH0197	Cyanobacteria	1
MH0197	Desulfobacterota_A	1
MH0197	Euryarchaeota	1
MH0197	Firmicutes	13
MH0197	Firmicutes_A	76
MH0197	Firmicutes_C	1
MH0197	Proteobacteria	1
MH0197	Verrucomicrobiota	1
MH0206	Actinobacteriota	2
MH0206	Bacteroidota	38
MH0206	Cyanobacteria	1
MH0206	Desulfobacterota_A	1
MH0206	Firmicutes	11
MH0206	Firmicutes_A	84
MH0206	Firmicutes_C	1
MH0206	Proteobacteria	5
MH0206	Verrucomicrobiota	1
MH0212	Actinobacteriota	2
MH0212	Bacteroidota	31
MH0212	Cyanobacteria	2
MH0212	Desulfobacterota_A	1
MH0212	Firmicutes	11
MH0212	Firmicutes_A	51
MH0212	Firmicutes_C	1
MH0212	Proteobacteria	3
MH0212	Verrucomicrobiota	1
MH0222	Actinobacteriota	1
MH0222	Bacteroidota	25
MH0222	Cyanobacteria	1
MH0222	Desulfobacterota_A	1
MH0222	Firmicutes	20
MH0222	Firmicutes_A	88
MH0222	Firmicutes_C	1
MH0222	Proteobacteria	3
MH0227	Actinobacteriota	5
MH0227	Bacteroidota	29
MH0227	Desulfobacterota_A	1
MH0227	Firmicutes	6
MH0227	Firmicutes_A	52
MH0227	Firmicutes_C	1
MH0227	Proteobacteria	3
MH0229	Actinobacteriota	2
MH0229	Bacteroidota	27
MH0229	Cyanobacteria	1
MH0229	Desulfobacterota_A	1
MH0229	Euryarchaeota	1
MH0229	Firmicutes	15
MH0229	Firmicutes_A	84
MH0229	Firmicutes_C	1
MH0229	Proteobacteria	4
MH0229	Verrucomicrobiota	1
MH0234	Actinobacteriota	3
MH0234	Bacteroidota	34
MH0234	Desulfobacterota_A	1
MH0234	Firmicutes	7
MH0234	Firmicutes_A	78
MH0234	Firmicutes_C	2
MH0234	Proteobacteria	8
MH0238	Actinobacteriota	8
MH0238	Bacteroidota	31
MH0238	Firmicutes	8
MH0238	Firmicutes_A	71
MH0238	Firmicutes_C	2
MH0238	Proteobacteria	4
MH0252	Actinobacteriota	3
MH0252	Bacteroidota	43
MH0252	Cyanobacteria	4
MH0252	Desulfobacterota_A	1
MH0252	Firmicutes	16
MH0252	Firmicutes_A	89
MH0252	Firmicutes_C	2
MH0252	Proteobacteria	4
MH0252	Verrucomicrobiota	1
MH0253	Actinobacteriota	2
MH0253	Bacteroidota	32
MH0253	Cyanobacteria	1
MH0253	Desulfobacterota_A	1
MH0253	Firmicutes	12
MH0253	Firmicutes_A	86
MH0253	Firmicutes_C	1
MH0253	Proteobacteria	5
MH0253	Thermoplasmatota	1
MH0253	Verrucomicrobiota	1
MH0259	Actinobacteriota	8
MH0259	Bacteroidota	33
MH0259	Desulfobacterota_A	1
MH0259	Firmicutes	7
MH0259	Firmicutes_A	83
MH0259	Firmicutes_C	1
MH0259	Proteobacteria	4
MH0259	Spirochaetota	1
MH0260	Actinobacteriota	4
MH0260	Bacteroidota	34
MH0260	Cyanobacteria	1
MH0260	Desulfobacterota_A	2
MH0260	Firmicutes	12
MH0260	Firmicutes_A	75
MH0260	Firmicutes_C	6
MH0260	Proteobacteria	9
MH0261	Actinobacteriota	3
MH0261	Bacteroidota	28
MH0261	Cyanobacteria	1
MH0261	Desulfobacterota_A	1
MH0261	Firmicutes	3
MH0261	Firmicutes_A	43
MH0261	Firmicutes_C	1
MH0261	Proteobacteria	2
MH0261	Verrucomicrobiota	1
MH0264	Actinobacteriota	1
MH0264	Bacteroidota	26
MH0264	Desulfobacterota_A	1
MH0264	Firmicutes	5
MH0264	Firmicutes_A	57
MH0264	Firmicutes_C	1
MH0264	Proteobacteria	2
MH0264	Verrucomicrobiota	1
MH0266	Actinobacteriota	4
MH0266	Bacteroidota	28
MH0266	Desulfobacterota_A	1
MH0266	Firmicutes	3
MH0266	Firmicutes_A	66
MH0266	Firmicutes_C	1
MH0266	Proteobacteria	3
MH0266	Verrucomicrobiota	1
MH0271	Actinobacteriota	2
MH0271	Bacteroidota	31
MH0271	Cyanobacteria	2
MH0271	Firmicutes	9
MH0271	Firmicutes_A	70
MH0271	Firmicutes_C	1
MH0271	Proteobacteria	3
MH0271	Verrucomicrobiota	1
MH0276	Actinobacteriota	4
MH0276	Bacteroidota	25
MH0276	Cyanobacteria	1
MH0276	Firmicutes	19
MH0276	Firmicutes_A	93
MH0276	Firmicutes_C	8
MH0276	Proteobacteria	2
MH0276	Verrucomicrobiota	2
MH0281	Actinobacteriota	2
MH0281	Bacteroidota	31
MH0281	Cyanobacteria	3
MH0281	Desulfobacterota_A	1
MH0281	Firmicutes	6
MH0281	Firmicutes_A	67
MH0281	Firmicutes_C	2
MH0281	Proteobacteria	5
MH0281	Verrucomicrobiota	1
MH0283	Actinobacteriota	1
MH0283	Bacteroidota	31
MH0283	Desulfobacterota_A	1
MH0283	Firmicutes	3
MH0283	Firmicutes_A	42
MH0283	Firmicutes_C	3
MH0283	Proteobacteria	3
MH0286	Actinobacteriota	4
MH0286	Bacteroidota	32
MH0286	Cyanobacteria	1
MH0286	Desulfobacterota_A	2
MH0286	Firmicutes	14
MH0286	Firmicutes_A	71
MH0286	Firmicutes_C	2
MH0286	Proteobacteria	2
MH0288	Actinobacteriota	1
MH0288	Bacteroidota	37
MH0288	Cyanobacteria	2
MH0288	Firmicutes	8
MH0288	Firmicutes_A	75
MH0288	Firmicutes_C	8
MH0288	Proteobacteria	4
MH0288	Verrucomicrobiota	1
MH0289	Actinobacteriota	3
MH0289	Bacteroidota	30
MH0289	Cyanobacteria	1
MH0289	Desulfobacterota_A	1
MH0289	Firmicutes	6
MH0289	Firmicutes_A	66
MH0289	Firmicutes_C	1
MH0289	Proteobacteria	2
MH0298	Actinobacteriota	4
MH0298	Bacteroidota	38
MH0298	Cyanobacteria	1
MH0298	Desulfobacterota_A	1
MH0298	Firmicutes	9
MH0298	Firmicutes_A	76
MH0298	Firmicutes_C	1
MH0298	Proteobacteria	4
MH0299	Actinobacteriota	1
MH0299	Bacteroidota	27
MH0299	Desulfobacterota_A	1
MH0299	Firmicutes	4
MH0299	Firmicutes_A	48
MH0299	Firmicutes_C	1
MH0299	Proteobacteria	1
MH0302	Bacteroidota	26
MH0302	Cyanobacteria	1
MH0302	Firmicutes	6
MH0302	Firmicutes_A	46
MH0302	Proteobacteria	1
MH0302	Verrucomicrobiota	1
MH0308	Actinobacteriota	1
MH0308	Bacteroidota	39
MH0308	Cyanobacteria	1
MH0308	Desulfobacterota_A	1
MH0308	Firmicutes	13
MH0308	Firmicutes_A	71
MH0308	Firmicutes_C	2
MH0308	Proteobacteria	5
MH0308	Verrucomicrobiota	1
MH0309	Actinobacteriota	2
MH0309	Bacteroidota	31
MH0309	Euryarchaeota	1
MH0309	Firmicutes	6
MH0309	Firmicutes_A	79
MH0309	Proteobacteria	4
MH0309	Synergistota	1
MH0309	Thermoplasmatota	1
MH0309	Verrucomicrobiota	1
MH0310	Actinobacteriota	1
MH0310	Bacteroidota	26
MH0310	Cyanobacteria	1
MH0310	Desulfobacterota_A	1
MH0310	Firmicutes	3
MH0310	Firmicutes_A	70
MH0310	Firmicutes_C	1
MH0310	Proteobacteria	3
MH0311	Actinobacteriota	7
MH0311	Bacteroidota	32
MH0311	Desulfobacterota_A	1
MH0311	Firmicutes	7
MH0311	Firmicutes_A	43
MH0311	Firmicutes_C	3
MH0311	Proteobacteria	2
MH0314	Bacteroidota	30
MH0314	Euryarchaeota	1
MH0314	Firmicutes	10
MH0314	Firmicutes_A	73
MH0314	Firmicutes_C	1
MH0314	Proteobacteria	4
MH0323	Actinobacteriota	2
MH0323	Bacteroidota	40
MH0323	Desulfobacterota_A	1
MH0323	Firmicutes	8
MH0323	Firmicutes_A	68
MH0323	Firmicutes_C	4
MH0323	Proteobacteria	4
MH0323	Verrucomicrobiota	1
MH0327	Actinobacteriota	7
MH0327	Bacteroidota	26
MH0327	Desulfobacterota_A	1
MH0327	Firmicutes	3
MH0327	Firmicutes_A	44
MH0327	Firmicutes_C	2
MH0327	Proteobacteria	1
MH0328	Actinobacteriota	4
MH0328	Bacteroidota	39
MH0328	Desulfobacterota_A	1
MH0328	Euryarchaeota	1
MH0328	Firmicutes	6
MH0328	Firmicutes_A	72
MH0328	Firmicutes_C	1
MH0328	Proteobacteria	1
MH0328	Verrucomicrobiota	1
MH0329	Actinobacteriota	5
MH0329	Bacteroidota	30
MH0329	Cyanobacteria	1
MH0329	Desulfobacterota_A	2
MH0329	Euryarchaeota	1
MH0329	Firmicutes	19
MH0329	Firmicutes_A	83
MH0329	Firmicutes_C	1
MH0329	Proteobacteria	1
MH0329	Thermoplasmatota	1
MH0329	Verrucomicrobiota	1
MH0334	Actinobacteriota	7
MH0334	Bacteroidota	29
MH0334	Euryarchaeota	1
MH0334	Firmicutes	6
MH0334	Firmicutes_A	71
MH0334	Firmicutes_C	1
MH0334	Proteobacteria	2
MH0334	Spirochaetota	1
MH0335	Actinobacteriota	2
MH0335	Bacteroidota	31
MH0335	Desulfobacterota_A	1
MH0335	Firmicutes	8
MH0335	Firmicutes_A	34
MH0335	Firmicutes_C	5
MH0335	Proteobacteria	5
MH0339	Actinobacteriota	2
MH0339	Bacteroidota	30
MH0339	Cyanobacteria	1
MH0339	Desulfobacterota_A	1
MH0339	Euryarchaeota	1
MH0339	Firmicutes	12
MH0339	Firmicutes_A	77
MH0339	Firmicutes_C	2
MH0339	Proteobacteria	4
MH0339	Verrucomicrobiota	1
MH0343	Actinobacteriota	3
MH0343	Bacteroidota	33
MH0343	Cyanobacteria	2
MH0343	Desulfobacterota_A	2
MH0343	Euryarchaeota	1
MH0343	Firmicutes	5
MH0343	Firmicutes_A	66
MH0343	Firmicutes_C	2
MH0343	Proteobacteria	4
MH0343	Synergistota	1
MH0343	Thermoplasmatota	1
MH0343	Verrucomicrobiota	3
MH0346	Actinobacteriota	2
MH0346	Bacteroidota	27
MH0346	Firmicutes	9
MH0346	Firmicutes_A	74
MH0346	Firmicutes_C	5
MH0346	Proteobacteria	2
MH0346	Verrucomicrobiota	1
MH0347	Actinobacteriota	8
MH0347	Bacteroidota	33
MH0347	Firmicutes	5
MH0347	Firmicutes_A	55
MH0347	Firmicutes_C	1
MH0347	Proteobacteria	1
MH0349	Actinobacteriota	5
MH0349	Bacteroidota	23
MH0349	Euryarchaeota	1
MH0349	Firmicutes	6
MH0349	Firmicutes_A	88
MH0349	Firmicutes_C	1
MH0349	Proteobacteria	1
MH0349	Spirochaetota	1
MH0349	Verrucomicrobiota	1
MH0354	Actinobacteriota	6
MH0354	Bacteroidota	30
MH0354	Euryarchaeota	1
MH0354	Firmicutes	12
MH0354	Firmicutes_A	49
MH0354	Firmicutes_C	6
MH0354	Proteobacteria	1
MH0354	Verrucomicrobiota	1
MH0355	Actinobacteriota	5
MH0355	Bacteroidota	30
MH0355	Cyanobacteria	3
MH0355	Desulfobacterota_A	2
MH0355	Euryarchaeota	1
MH0355	Firmicutes	26
MH0355	Firmicutes_A	90
MH0355	Firmicutes_C	1
MH0355	Proteobacteria	3
MH0358	Actinobacteriota	1
MH0358	Bacteroidota	34
MH0358	Cyanobacteria	1
MH0358	Firmicutes	3
MH0358	Firmicutes_A	41
MH0358	Firmicutes_C	1
MH0358	Proteobacteria	3
MH0359	Actinobacteriota	4
MH0359	Bacteroidota	31
MH0359	Desulfobacterota_A	1
MH0359	Firmicutes	1
MH0359	Firmicutes_A	67
MH0359	Firmicutes_C	4
MH0359	Proteobacteria	7
MH0359	Verrucomicrobiota	1
MH0361	Actinobacteriota	2
MH0361	Bacteroidota	36
MH0361	Firmicutes	4
MH0361	Firmicutes_A	62
MH0361	Firmicutes_C	1
MH0361	Proteobacteria	1
MH0362	Actinobacteriota	7
MH0362	Bacteroidota	38
MH0362	Cyanobacteria	1
MH0362	Desulfobacterota_A	2
MH0362	Euryarchaeota	1
MH0362	Firmicutes	7
MH0362	Firmicutes_A	71
MH0362	Firmicutes_C	1
MH0362	Verrucomicrobiota	2
MH0364	Actinobacteriota	3
MH0364	Bacteroidota	35
MH0364	Cyanobacteria	2
MH0364	Desulfobacterota_A	1
MH0364	Firmicutes	14
MH0364	Firmicutes_A	78
MH0364	Firmicutes_C	1
MH0364	Proteobacteria	4
MH0364	Verrucomicrobiota	1
MH0365	Actinobacteriota	2
MH0365	Bacteroidota	37
MH0365	Cyanobacteria	1
MH0365	Desulfobacterota_A	1
MH0365	Firmicutes	12
MH0365	Firmicutes_A	75
MH0365	Firmicutes_C	6
MH0365	Proteobacteria	7
MH0365	Verrucomicrobiota	1
MH0366	Actinobacteriota	9
MH0366	Bacteroidota	27
MH0366	Desulfobacterota_A	1
MH0366	Euryarchaeota	1
MH0366	Firmicutes	6
MH0366	Firmicutes_A	60
MH0366	Proteobacteria	2
MH0366	Verrucomicrobiota	1
MH0368	Bacteroidota	37
MH0368	Cyanobacteria	1
MH0368	Euryarchaeota	1
MH0368	Firmicutes	17
MH0368	Firmicutes_A	59
MH0368	Firmicutes_C	1
MH0368	Proteobacteria	2
MH0369	Actinobacteriota	2
MH0369	Bacteroidota	31
MH0369	Cyanobacteria	6
MH0369	Desulfobacterota_A	2
MH0369	Euryarchaeota	1
MH0369	Firmicutes	16
MH0369	Firmicutes_A	58
MH0369	Firmicutes_C	1
MH0369	Proteobacteria	4
MH0369	Verrucomicrobiota	1
MH0371	Actinobacteriota	1
MH0371	Bacteroidota	32
MH0371	Euryarchaeota	1
MH0371	Firmicutes	14
MH0371	Firmicutes_A	90
MH0371	Firmicutes_C	1
MH0371	Proteobacteria	5
MH0372	Actinobacteriota	7
MH0372	Bacteroidota	26
MH0372	Firmicutes	8
MH0372	Firmicutes_A	45
MH0372	Firmicutes_C	1
MH0372	Proteobacteria	1
MH0373	Actinobacteriota	2
MH0373	Bacteroidota	25
MH0373	Desulfobacterota_A	1
MH0373	Euryarchaeota	1
MH0373	Firmicutes	13
MH0373	Firmicutes_A	61
MH0373	Verrucomicrobiota	3
MH0374	Actinobacteriota	2
MH0374	Bacteroidota	25
MH0374	Euryarchaeota	1
MH0374	Firmicutes	11
MH0374	Firmicutes_A	92
MH0374	Firmicutes_C	3
MH0374	Proteobacteria	1
MH0375	Actinobacteriota	2
MH0375	Bacteroidota	40
MH0375	Desulfobacterota_A	1
MH0375	Firmicutes	3
MH0375	Firmicutes_A	43
MH0375	Firmicutes_C	1
MH0375	Proteobacteria	2
MH0375	Verrucomicrobiota	1
MH0376	Actinobacteriota	3
MH0376	Bacteroidota	36
MH0376	Euryarchaeota	1
MH0376	Firmicutes	11
MH0376	Firmicutes_A	80
MH0376	Firmicutes_C	2
MH0376	Proteobacteria	6
MH0376	Verrucomicrobiota	1
MH0377	Actinobacteriota	1
MH0377	Bacteroidota	40
MH0377	Cyanobacteria	1
MH0377	Desulfobacterota_A	1
MH0377	Euryarchaeota	1
MH0377	Firmicutes	17
MH0377	Firmicutes_A	70
MH0377	Firmicutes_C	2
MH0377	Proteobacteria	4
MH0377	Verrucomicrobiota	1
MH0378	Actinobacteriota	1
MH0378	Bacteroidota	32
MH0378	Cyanobacteria	3
MH0378	Desulfobacterota_A	1
MH0378	Firmicutes	9
MH0378	Firmicutes_A	70
MH0378	Firmicutes_C	1
MH0378	Proteobacteria	4
MH0381	Actinobacteriota	1
MH0381	Bacteroidota	31
MH0381	Cyanobacteria	1
MH0381	Firmicutes	9
MH0381	Firmicutes_A	80
MH0381	Firmicutes_C	1
MH0381	Proteobacteria	4
MH0381	Verrucomicrobiota	1
MH0382	Actinobacteriota	7
MH0382	Bacteroidota	31
MH0382	Desulfobacterota_A	1
MH0382	Firmicutes	2
MH0382	Firmicutes_A	70
MH0382	Firmicutes_C	2
MH0382	Proteobacteria	3
