compounds	producers_nb
M_D__45__LACTATE_c	1038
M_CL__45___c	1520
M_4__45__P__45__PANTOTHENATE_c	884
M_DEOXYGUANOSINE_c	649
M_HS_c	200
M_CPD__45__308_c	121
M_CPD__45__15225_c	2
M_N__45__23__45__DIHYDROXYBENZOYL__45__L__45__SERINE_c	30
M_IDP_c	85
M_ACETYLSERINE_c	392
M_CPD__45__69_c	848
M_HOMO__45__CYS_c	138
M_CPD__45__183_c	19
M_3__45__SULFINOALANINE_c	19
M_CPD__45__19754_c	2
M_5__45__BETA__45__L__45__THREO__45__PENTAPYRANOSYL__45__4__45__ULOSE__45___c	1
M_CPD__45__13792_c	1520
M_GLC__45__1__45__P_c	1466
M_MALONATE__45__S__45__ALD_c	59
M_TRP_c	1520
M_Glucopyranose_c	1167
M_CPD__45__12366_c	564
M_NADPH_c	1515
M_PRO_c	1520
M_CPD__45__12377_c	674
M_RIBOFLAVIN_c	1520
M_LEU_c	1520
M_CPD__45__18_c	349
M_CPD__45__13912_c	117
M_3__45__P__45__HYDROXYPYRUVATE_c	1378
M_CPD__45__11479_c	2
M_CPD__45__8990_c	674
M_CPD__45__16407_c	19
M_INDOLE_PYRUVATE_c	30
M_CPD__45__12258_c	1
M_CPD__45__14093_c	2
M_3__45__HYDROXY__45__L__45__KYNURENINE_c	4
M_CPD__45__9387_c	19
M_CPD__45__10750_c	91
M_GLUTATHIONE_c	245
M_GMP_c	892
M_CPD__45__15590_c	1174
M_CPD__45__8268_c	16
M_B__45__ALANINE_c	817
M_PROPANOL_c	3
M_2__45__OXOBUTANOATE_c	1108
M_DCTP_c	483
M_Large__45__branched__45__glucans_c	268
M_CPD__45__15127_c	28
M_CPD__45__233_c	25
M_D__45__arabinofuranose_c	92
M_L__45__XYLULOSE__45__5__45__P_c	150
M_K__43___c	1520
M_GDP__45__TP_c	883
M_NIACINAMIDE_c	1520
M_DIHYDROMONAPTERIN__45__TRIPHOSPHATE_c	30
M_TARTRONATE__45__S__45__ALD_c	26
M_OXALO__45__SUCCINATE_c	1133
M_2__45__KETO__45__3__45__METHYL__45__VALERATE_c	1335
M_CPD__45__10751_c	79
M_CGMP_c	20
M_HYDROGEN__45__MOLECULE_c	357
M_CPD__45__15056_c	1108
M_2__45__METHYL__45__BUTYRYL__45__COA_c	153
M_PANTETHEINE__45__P_c	392
M_CPD__45__18251_c	2
M_CA__43__2_c	1520
M_Pi_c	1520
M_UNDECAPRENYL__45__DIPHOSPHATE_c	1
M_DEHYDRO__45__3__45__DEOXY__45__L__45__RHAMNONATE_c	17
M_CPD__45__3321_c	2
M_4__45__MALEYL__45__ACETOACETATE_c	6
M_ANTHRANILATE_c	1017
M_DIAMINO__45__OH__45__PHOSPHORIBOSYLAMINO__45__PYR_c	696
M_N__45__ACETYL__45__GLUTAMYL__45__P_c	119
M_PHOSPHO__45__ENOL__45__PYRUVATE_c	1456
M_3__45__CARBOXY__45__3__45__HYDROXY__45__ISOCAPROATE_c	382
M_CPD__45__7672_c	7
M_OROTIDINE__45__5__45__PHOSPHATE_c	677
M_LACTALD_c	19
M_BUTYRYL__45__COA_c	313
M_ACET_c	546
M_FE__43__2_c	1520
M_1__45__L__45__MYO__45__INOSITOL__45__1__45__P_c	701
M_CPD__45__11480_c	2
M_D__45__GLUCOSAMINE__45__6__45__P_c	1356
M_CPD__45__14443_c	1453
M_GTP_c	891
M_CPD__45__15317_c	702
M_TREHALOSE_c	13
M_INDOLE_c	1189
M_ALPHA__45__TOCOPHEROL_c	1520
M_NAD_c	1520
M_CPD__45__15158_c	135
M_RIBULOSE__45__5P_c	1282
M_CPD0__45__2467_c	14
M_LACTOYL__45__COA_c	1
M_S__45__ADENOSYLMETHIONINE_c	1492
M_MAL_c	1024
M_CPD__45__245_c	3
M_2__45__PHOSPHO__45__4__45__CYTIDINE__45__5__45__DIPHOSPHO__45__2__45__C__45__MET_c	614
M_DIHYDROPTERIN__45__CH2OH__45__PP_c	452
M_L__45__Methionine__45__sulfoxides_c	674
M_HIS_c	1520
M_GLYCOLALDEHYDE_c	482
M_CPD__45__650_c	39
M_CPD__45__14292_c	1520
M_IMIDAZOLE__45__PYRUVATE_c	19
M_PROTON_e	1520
M_3__45__ENOLPYRUVYL__45__SHIKIMATE__45__5P_c	1228
M_C3_c	1
M_4__45__IMIDAZOLONE__45__5__45__PROPIONATE_c	405
M_PHOSPHORIBOSYL__45__FORMAMIDO__45__CARBOXAMIDE_c	33
M_AMMONIA_c	1519
M_7__45__AMINOMETHYL__45__7__45__DEAZAGUANINE_c	538
M_PHOSPHORIBOSYL__45__CARBOXY__45__AMINOIMIDAZOLE_c	163
M_AICAR_c	1243
M_CPD__45__15700_c	92
M_Retinols_c	1520
M_Glucose_c	268
M_GUANINE_c	868
M_S__45__ADENOSYLMETHIONINAMINE_c	530
M_C__45__DI__45__GMP_c	520
M_SUC_c	949
M_CPD__45__7000_c	5
M_ERYTHROSE__45__4P_c	1253
M_5__45__OXOPROLINE_c	1418
M_HYPOXANTHINE_c	985
M_DI__45__H__45__OROTATE_c	836
M_5__45__PHOSPHORIBOSYL__45__5__45__AMINOIMIDAZOLE_c	163
M_CPD__45__15979_c	70
M_7__45__8__45__DIHYDROPTEROATE_c	378
M_CELLOBIOSE_c	1
M_CPD__45__19306_c	95
M_DELTA3__45__ISOPENTENYL__45__PP_c	4
M_CHLOROACETIC__45__ACID_c	1
M_ARG_c	1520
M_6__45__HYDROXY__45__NICOTINATE_c	1
M_CPD__45__18105_c	1
M_CPD__45__11474_c	2
M_TETRACOSANOATE_c	1520
M_CPD__45__8052_c	28
M_UDP__45__4__45__AMINO__45__4__45__DEOXY__45__L__45__ARABINOSE_c	1
M_PYRUVATE_c	1482
M_ACRYLYL__45__COA_c	2
M_LINOLENOYL__45__COA_c	349
M_CPD__45__16888_c	1
M_NYSTOSE_c	1
M_DIHYDRO__45__DIOH__45__BENZOATE_c	34
M_CO__45__A_c	392
M_6__45__KESTOSE_c	1
M_DIHYDROFOLATE_c	378
M_5__45__HYDROXY__45__CTP_c	201
M_GLC__45__6__45__P_c	12
M_VITAMIN_D3_c	1520
M_CPD__45__14553_c	241
M_CPD__45__9646_c	1
M_3__45__DEOXY__45__D__45__ARABINO__45__HEPTULOSONATE__45__7__45__P_c	1229
M_CPD__45__12365_c	222
M_ADP__45__D__45__GLYCERO__45__D__45__MANNO__45__HEPTOSE_c	40
M_2__45__METHYL__45__3__45__PHYTYL__45__14__45__NAPHTHOQUINONE_c	1520
M_MANNOSE__45__1P_c	60
M_2__45__AMINOACRYLATE_c	1391
M_CPD__45__8259_c	848
M_DIHYDROXY__45__BUTANONE__45__P_c	806
M_HOMO__45__CIT_c	3
M_ACETYL__45__COA_c	392
M_CPD0__45__2121_c	1
M_CPD__45__12189_c	1520
M_GLYCERATE_c	26
M_ALPHA__45__GLUCOSE_c	1491
M_ATP_c	1520
M_MALTOSE_c	1520
M_CELLULOSE_c	1520
M_CPD__45__551_c	134
M_TAGATOSE__45__6__45__PHOSPHATE_c	3
M_NADH_c	1520
M_PYRIDOXAMINE__45__5P_c	1197
M_UREA_c	1511
M_GDP__45__4__45__DEHYDRO__45__6__45__L__45__DEOXYGALACTOSE_c	28
M_FARNESYL__45__PP_c	1
M_CPD__45__9245_c	1520
M_UDP__45__N__45__ACETYL__45__D__45__GLUCOSAMINE_c	321
M_CPD__45__1112_c	1
M_PYRIDOXAL_PHOSPHATE_c	1286
M_D__45__ALPHABETA__45__D__45__HEPTOSE__45__7__45__PHOSPHATE_c	134
M_2__45__PG_c	1456
M_S__45__ALLANTOIN_c	9
M_AGMATHINE_c	838
M_CPD0__45__2338_c	1
M_Short__45__Alpha__45__14__45__Glucans_c	178
M_CPD__45__17492_c	1
M_GERANYL__45__PP_c	1
M_HMP_c	206
M_KDO_c	34
M_3OH__45__4P__45__OH__45__ALPHA__45__KETOBUTYRATE_c	1181
M_CPD__45__597_c	164
M_SERYL__45__AMP_c	32
M_2__45__5__45__TRIPHOSPHORIBOSYL__45__3__45__DEPHOSPHO__45___c	19
M_CPD__45__13559_c	11
M_STEAROYL__45__COA_c	349
M_H2CO3_c	844
M_CPD__45__16886_c	1
M_P__45__AMINO__45__BENZOATE_c	957
M_CPD__45__7224_c	94
M_ETOH_c	1520
M_PHENYLACETALDEHYDE_c	8
M_L__45__GLYCERALDEHYDE__45__3__45__PHOSPHATE_c	684
M_D__45__Xylose_c	4
M_CPD__45__280_c	19
M_CPD0__45__2101_c	30
M_L__45__DELTA1__45__PYRROLINE_5__45__CARBOXYLATE_c	1456
M_CDP__45__D__45__GLUCOSE_c	193
M_ACETYL__45__P_c	489
M_CPD__45__4211_c	3
M_CPD__45__674_c	1
M_CPD0__45__2554_c	1492
M_3__45__UREIDO__45__PROPIONATE_c	47
M_CPD__45__961_c	1
M_CPD__45__12575_c	243
M_SHIKIMATE_c	1228
M_XTP_c	457
M_GALACTOSE_c	19
M_IMINOASPARTATE_c	1111
M_GAMMA__45__GLUTAMYL__45__PUTRESCINE_c	19
M_TREHALOSE__45__6P_c	13
M_N__45__FORMIMINO__45__L__45__GLUTAMATE_c	395
M_PYRIDOXINE_c	1520
M_DODECANOATE_c	1520
M_ADENOSINE_c	1035
M_CPD__45__12179_c	6
M_CPD__45__265_c	26
M_CPD__45__16408_c	19
M_2__45__AMINO__45__3__45__3__45__OXOPROP__45__2__45__ENYL__45__BUT__45__2__45__ENEDI_c	4
M_AMINO__45__OXOBUT_c	561
M_URIDINE_c	500
M_PHENOL_c	178
M_CPD__45__15435_c	755
M_THIAMINE__45__PYROPHOSPHATE_c	1435
M_D__45__glucopyranose__45__6__45__phosphate_c	1481
M_L__45__CITRULLINE_c	846
M_OXIDIZED__45__GLUTATHIONE_c	44
M_CPD__45__13489_c	414
M_CPD__45__13847_c	84
M_ISOBUTYRYL__45__COA_c	339
M_7__45__CYANO__45__7__45__DEAZAGUANINE_c	542
M_FORMAMIDE_c	52
M_CPD__45__14795_c	1
M_CPD__45__17188_c	1520
M_ASCORBATE_c	1520
M_3__45__DEHYDRO__45__SHIKIMATE_c	1229
M_OH_c	674
M_CPD0__45__181_c	162
M_CADAVERINE_c	37
M_CPD0__45__2298_c	9
M_1__45__KETO__45__2__45__METHYLVALERATE_c	1078
M_5__45__HYDROXYISOURATE_c	9
M_CPD__45__15999_c	1
M_CPD__45__12253_c	5
M_CPD0__45__2472_c	1520
M_ITP_c	474
M_D__45__ALA__45__D__45__ALA_c	1461
M_ASN_c	1307
M_CPD__45__12175_c	8
M_AEROBACTIN_c	1
M_CO3_c	844
M_CPD__45__7836_c	1520
M_CPD0__45__2123_c	9
M_L__45__LACTATE_c	924
M_LINOLEIC_ACID_c	1520
M_R__45____45__ALLANTOIN_c	9
M_TRYPTAMINE_c	5
M_IMP_c	893
M_CPD0__45__1108_c	799
M_CPD__45__466_c	8
M_ALPHA__45__D__45__MANNOSYL__45__3__45__PHOSPHOGLYCERATE_c	21
M_D__45__ERYTHRO__45__IMIDAZOLE__45__GLYCEROL__45__P_c	1242
M_UTP_c	671
M_CPD__45__15403_c	30
M_DCDP_c	392
M_CPD__45__217_c	69
M_CPD__45__16876_c	15
M_RIBOSE__45__5P_c	1353
M_FMN_c	1497
M_CPD0__45__2483_c	30
M_SPERMIDINE_c	441
M_CPD__45__13907_c	117
M_CPD__45__15975_c	176
M_AMINO__45__OH__45__HYDROXYMETHYL__45__DIHYDROPTERIDINE_c	452
M_CPD__45__387_c	1520
M_CPD__45__10267_c	349
M_CPD__45__667_c	495
M_SO3_c	11
M_CPD__45__15709_c	1481
M_2__45__ACETO__45__2__45__HYDROXY__45__BUTYRATE_c	1062
M_CPD__45__317_c	29
M_CPD__45__10774_c	31
M_DEOXYINOSINE_c	639
M_CPD__45__15642_c	20
M_L__45__23__45__DIAMINOPROPANOATE_c	2
M_PHENYLACETATE_c	8
M_MESACONATE_c	27
M_D__45__SEDOHEPTULOSE__45__7__45__P_c	1247
M_D__45__SERINE_c	28
M_CPD__45__381_c	18
M_CPD__45__600_c	9
M_L__45__ARGININO__45__SUCCINATE_c	845
M_DEOXYXYLULOSE__45__5P_c	1443
M_CPD__45__10775_c	31
M_DEAMIDO__45__NAD_c	1293
M_METHYL__45__MALONYL__45__COA_c	119
M_INDOLE_ACETALDEHYDE_c	35
M_CPD__45__18238_c	844
M_PUTRESCINE_c	466
M_CPD__45__602_c	693
M_UDP__45__ACETYL__45__CARBOXYVINYL__45__GLUCOSAMINE_c	321
M_CPD__45__12004_c	7
M_AMINO__45__HYDROXYMETHYL__45__METHYLPYRIMIDINE__45__PP_c	356
M_CPD__45__14736_c	4
M_DOCOSANOATE_c	1520
M_2__45__3__45__DIHYDROXYBENZOATE_c	34
M_CPD__45__62_c	34
M_CPD__45__335_c	4
M_CPD__45__227_c	13
M_NITRIC__45__OXIDE_c	6
M_CPD__45__14021_c	141
M_CPD__45__3617_c	1520
M_CPD__45__10753_c	79
M_PROPANE__45__1__45__2__45__DIOL_c	19
M_FORMYL__45__ISOGLUTAMINE_c	46
M_AMMONIUM_c	1519
M_CPD__45__9000_c	10
M_CPD__45__16013_c	1108
M_CPD__45__16606_c	84
M_ALPHA__45__RIBAZOLE__45__5__45__P_c	1
M_D__45__METHYL__45__MALONYL__45__COA_c	123
M_CPD__45__470_c	23
M_GLYCOL_c	312
M_CPD__45__9392_c	19
M_STEARIC_ACID_c	1520
M_4__45__AMINO__45__4__45__DEOXYCHORISMATE_c	957
M_DATP_c	956
M_3__45__KETOBUTYRATE_c	20
M_OXALACETIC_ACID_c	1168
M_GDP__45__D__45__GLUCOSE_c	11
M_CPD__45__10551_c	14
M_5__45__METHYL__45__THF_c	1520
M_CPD__45__12177_c	8
M_CPD__45__14378_c	2
M_CPD__45__421_c	1
M_3__45__MERCAPTO__45__PYRUVATE_c	30
M_ACETOACETYL__45__COA_c	40
M_GDP__45__MANNOSE_c	53
M_CPD__45__13469_c	1337
M_CPD__45__8989_c	674
M_CPD__45__307_c	33
M_CIS__45__ACONITATE_c	648
M_N__45__ALPHA__45__ACETYLORNITHINE_c	119
M_4__45__OH__45__4__45__ACETYL__45__2__45__OXOGLUTARATE_c	3
M_CPD__45__641_c	4
M_CPD__45__13913_c	117
M_GDP_c	891
M_CPD__45__13910_c	117
M_NEOKESTOSE_c	1
M_ADP__45__L__45__GLYCERO__45__D__45__MANNO__45__HEPTOSE_c	40
M_CPD__45__19753_c	34
M_XYLULOSE__45__5__45__PHOSPHATE_c	1283
M_IMIDAZOLE__45__ACETOL__45__P_c	1242
M_CPD0__45__2461_c	619
M_PROPIONYL__45__COA_c	189
M_L__45__CYSTEATE_c	19
M_CPD__45__3462_c	5
M_DI__45__H__45__URACIL_c	47
M_DAMP_c	21
M_CPD__45__12367_c	262
M_CPD__45__407_c	243
M_OH__45__HEXANOYL__45__COA_c	1
M_3__45__4__45__DIHYDROXYBENZOATE_c	75
M_DCMP_c	393
M_DIHYDROXYACETONE_c	961
M_CPD__45__15382_c	641
M_CPD__45__13914_c	117
M_CPD__45__302_c	36
M_CPD__45__11281_c	29
M_SUC__45__COA_c	135
M_CARBAMATE_c	848
M_FUM_c	1305
M_CPD__45__499_c	4
M_UROCANATE_c	456
M_CPD__45__10244_c	1520
M_3__45__HYDROXY__45__ANTHRANILATE_c	4
M_CPD__45__155_c	124
M_GDP__45__4__45__DEHYDRO__45__6__45__DEOXY__45__D__45__MANNOSE_c	28
M_DEHYDRO__45__DEOXY__45__GALACTONATE__45__PHOSPHATE_c	1
M_CPD__45__1091_c	9
M_CTP_c	671
M_THIAMINE__45__P_c	229
M_CPD__45__653_c	1520
M_PHOSPHORIBOSYL__45__FORMIMINO__45__AICAR__45__P_c	1243
M_CPD__45__15818_c	799
M_XYLITOL_c	1520
M_MALONYL__45__COA_c	387
M_L__45__THREO__45__3__45__METHYL__45__ASPARTATE_c	46
M_L__45__GAMMA__45__GLUTAMYLCYSTEINE_c	245
M_ALPHA__45__GLC__45__6__45__P_c	12
M_CPD__45__14808_c	28
M_CPD__45__13043_c	542
M_CPD__45__12279_c	905
M_L__45__ALPHA__45__ALANINE_c	1520
M_CPD__45__1063_c	42
